Create your Pacific Superteam?,General Discussion,0,20,27/2/2025,14:41
Forsaken>cNed?,General Discussion,3,7,14/9/2021,1:55
PRX Forsaken,General Discussion,9,7,26/6/2022,19:02
FORSAKEN YORU,General Discussion,0,7,2/9/2022,5:41
Forsaken + jingg duo,General Discussion,2,7,21/6/2023,18:54
Tips for forsaken and jing to be the best players,General Discussion,6,7,24/6/2023,14:59
forsaken 1v3,General Discussion,2,7,20/8/2023,8:02
Forsaken is the problem,General Discussion,0,7,2/2/2025,7:32
Forsaken and something,General Discussion,0,7,23/3/2025,20:39
VANDAL SKINS,General Discussion,0,24,15/6/2021,20:23
People think forsaken's yoru is good,General Discussion,1,7,23/4/2022,2:44
Need help,General Discussion,0,14,29/4/2022,12:02
Rank best duos,General Discussion,0,26,6/6/2022,5:16
Guess the vlr user.,Off Topic,16,282,15/8/2022,19:03
-will +forsaken,General Discussion,0,7,17/8/2022,2:58
SG Something,General Discussion,6,27,12/3/2023,22:39
Fnatic vs prx [firepower],General Discussion,3,33,28/5/2023,3:25
Boaster and Forsaken,Off Topic,2,7,10/6/2023,15:09
I'm using the Forsaken Operator from now on.,General Discussion,0,7,14/6/2023,18:09
Forsaken duelist suck,General Discussion,0,7,20/6/2023,17:23
PRX VS NRG [ANALYSIS],General Discussion,0,21,21/6/2023,2:03
BEST PLAYERS SIGNATURE SKINS,General Discussion,11,60,28/7/2023,7:36
VLR answer.,General Discussion,0,41,28/7/2023,17:18
Best player for Each Category,General Discussion,0,42,26/8/2023,1:03
Fun fact about BLEED crazyguy,Off Topic,5,22,28/9/2023,7:25
Make your dream team.,General Discussion,0,81,9/10/2023,3:27
[bug match] SEN vs PRX,General Discussion,0,40,4/12/2023,22:41
FORSAKEN???,General Discussion,5,7,16/3/2024,4:10
Best player itw,General Discussion,1,52,21/3/2024,15:57
f0rsakeN vs chronicle,General Discussion,0,18,20/4/2024,21:52
who are the best players right now?,General Discussion,0,86,30/4/2024,12:53
f0rsaken is shit,General Discussion,0,62,13/5/2024,13:00
make your world roster,General Discussion,3,100,29/5/2024,9:20
first player you think of when you see every agent,General Discussion,0,55,30/7/2024,3:41
how does forsaken keep sneaking into goat debates,General Discussion,1,7,19/8/2024,6:20
"let’s play a game , vlr!",General Discussion,10,44,17/9/2024,24:17
top 5 overrated players go,General Discussion,0,97,14/10/2024,3:03
2024 best Ace,General Discussion,0,56,29/10/2024,2:25
Drop your Classic skin and I'll rate it.,General Discussion,0,125,12/11/2024,2:04
PRX IGL,General Discussion,0,27,2/2/2025,6:35
platchat???,General Discussion,0,28,11/3/2025,2:33
Forsaken true role is Sentinel?,General Discussion,2,6,9/4/2023,2:02
Forsaken sabotage PRX,General Discussion,0,6,24/6/2023,14:37
Forsaken vs Something,General Discussion,0,6,27/8/2023,13:04
OG forsaken > forsak3n > f0rsaken,General Discussion,0,6,7/12/2023,21:06
Forsaken Crosshair,General Discussion,0,6,24/3/2024,4:05
"Cryo looking like 22 Xset, He this years Forsaken?",General Discussion,0,6,11/5/2024,1:04
forsaken and boaster,General Discussion,0,6,30/5/2024,3:38
Forsaken Breach,General Discussion,2,6,11/8/2024,21:56
skrossi,General Discussion,0,32,14/10/2021,23:52
best apac jetts,General Discussion,0,54,13/3/2022,1:42
F0rsaken vs Surf vs Pati,General Discussion,0,22,25/3/2022,1:17
Who is the face of Valorant??,General Discussion,0,195,9/4/2022,12:24
the most overrated player is f0rsaken,General Discussion,0,80,16/4/2022,4:56
Lets Go Forsaken Baby??,General Discussion,1,6,23/4/2022,6:15
Vandal,General Discussion,0,27,1/5/2022,23:50
PlatChat Tierlist,General Discussion,0,30,30/6/2022,5:36
PRX would sh1t on FNC,General Discussion,0,89,16/7/2022,17:14
Forsaken 67% HS%,General Discussion,3,6,23/7/2022,2:01
Whats the best Operator skin in your opinion?,General Discussion,0,48,24/8/2022,19:59
rrq forsaken,General Discussion,0,6,16/11/2022,12:27
PRX,General Discussion,0,10,16/2/2023,2:12
APAC/PACIFIC is not so doomed after all,General Discussion,0,51,18/2/2023,16:25
Something's Jett vs f0rsaken's Jett,General Discussion,0,35,4/3/2023,17:30
f0rsakeN and something lost to a GE player,General Discussion,0,62,14/3/2023,2:45
Chamber destroyed 1 year of valorant pros...,General Discussion,43,108,4/4/2023,7:30
Best duelist 2023 09:21,General Discussion,0,49,25/4/2023,17:30
What skin should I buy?,General Discussion,0,25,18/5/2023,20:55
Make your own team (2),General Discussion,0,54,7/6/2023,22:52
f0rsakeN one of the best flex in the world?,General Discussion,5,17,20/6/2023,18:06
Is sthing really important ???,General Discussion,0,28,20/6/2023,20:02
Forsaken discipline,General Discussion,4,6,21/6/2023,19:03
Asian super team ...,General Discussion,3,30,22/6/2023,12:31
Top 10 Best Jetts?,General Discussion,0,62,25/6/2023,13:28
vlr users who are your top 10 pro valorant players,General Discussion,0,51,27/6/2023,15:44
This or that ? (2),General Discussion,0,29,30/6/2023,16:51
PRX Subreezy,Off Topic,10,19,19/7/2023,7:55
what player comes to mind when u think of a agent,General Discussion,0,25,31/7/2023,15:17
Watching jing and forsaken,General Discussion,3,6,4/8/2023,14:32
Who is the flexiest player,General Discussion,0,27,13/8/2023,3:29
Make Your Own INTERNATIONAL SUPER TEAM,General Discussion,1,57,13/8/2023,11:57
rough TOP 10 PLAYERS OF THE YEAR (VCT 2023),General Discussion,0,46,28/8/2023,10:49
The TRUE OWNER,General Discussion,1,91,19/11/2023,7:26
Pacific is a 2 player region,General Discussion,0,20,7/12/2023,20:59
Forsaken Family,General Discussion,4,6,18/3/2024,15:21
Respect chronicle,General Discussion,2,14,27/3/2024,1:34
Top 5 Flex Valo History,General Discussion,0,27,7/4/2024,2:43
Sacy’s ideal player FIXED,General Discussion,0,30,13/4/2024,4:59
something raze,General Discussion,0,16,19/4/2024,2:41
Super Team,General Discussion,1,32,22/4/2024,23:49
World's top 3 players (current),General Discussion,4,72,25/4/2024,7:18
Most used vandal skins this year in pro play,General Discussion,1,20,11/5/2024,2:06
2 of the top 3 players at shanghai in 1 image,General Discussion,0,37,13/5/2024,10:46
Chron > f0rsaken,General Discussion,9,36,16/8/2024,20:49
Chronicle Goat flex,General Discussion,0,15,18/8/2024,20:07
GOAT debate,General Discussion,1,73,19/8/2024,3:27
Goat List,General Discussion,0,42,20/8/2024,24:12
Dream team,General Discussion,0,62,14/3/2025,5:37
better PRX roleswap,General Discussion,0,28,25/3/2025,18:44
forsaken and yay,General Discussion,1,5,23/7/2022,1:47
Forsaken is a genius,General Discussion,0,5,11/4/2023,11:40
Forsaken Vs Something,General Discussion,0,5,15/4/2023,19:27
FUCK FORSAKEN,General Discussion,0,5,25/8/2023,6:03
INDIA >> EU,General Discussion,0,59,14/9/2021,3:22
Is Forsaken getting bullied,General Discussion,0,5,15/9/2021,23:31
"PRX Shiba benched, Jing to play on starting roster",General Discussion,4,15,28/9/2021,21:19
Who is the best APAC Frag demon?,General Discussion,2,22,18/12/2021,23:10
What is the best Vandal skin,General Discussion,0,30,5/1/2022,18:41
best player from each region,General Discussion,0,41,25/3/2022,13:13
