Sharper Esport vs. Paper Rex,Royal SEA Challenge,Playoffs,win,Paper Rex,Sharper Esport,2,1,19/11/2021,14:10
Paper Rex vs. Team Exploit,The Esports Club Showdown,Main Event,win,Paper Rex,Team Exploit,2,0,18/11/2021,14:50
Paper Rex vs. Bren Esports,Royal SEA Challenge,Group Stage,win,Paper Rex,Bren Esports,2,0,17/11/2021,16:20
Paper Rex vs. BLEED,Royal SEA Challenge,Group Stage,win,Paper Rex,BLEED,2,0,16/11/2021,16:00
Paper Rex vs. Team Big BAAM,Royal SEA Challenge,Group Stage,win,Paper Rex,Team Big BAAM,2,0,15/11/2021,16:00
Paper Rex vs. South Built Esports,Royal SEA Challenge,Group Stage,draw,Paper Rex,South Built Esports,1,1,14/11/2021,16:00
Paper Rex vs. DAMWON Gaming,Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,loss,Paper Rex,DAMWON Gaming,1,2,15/10/2021,17:15
Paper Rex vs. NORTHEPTION,Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,loss,Paper Rex,NORTHEPTION,0,2,14/10/2021,14:00
Paper Rex vs. Global Esports,Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,win,Paper Rex,Global Esports,2,0,12/10/2021,20:30
Paper Rex vs. BLEED,KJC eSports VALORANT Invitational,Playoffs,win,Paper Rex,BLEED,3,0,10/10/2021,16:00
BLEED vs. Paper Rex,KJC eSports VALORANT Invitational,Playoffs,win,Paper Rex,BLEED,2,1,09/10/2021,16:00
Paper Rex vs. Louvre,KJC eSports VALORANT Invitational,Playoffs,win,Paper Rex,Louvre,2,0,08/10/2021,16:35
Paper Rex vs. Foxy Araikordai,KJC eSports VALORANT Invitational,Playoffs,win,Paper Rex,Foxy Araikordai,2,0,07/10/2021,15:30
Louvre vs. Team SMG,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,Main Event,loss,Team SMG,Louvre,0,1,24/07/2021,14:00
Team SMG vs. UndeRank,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,Main Event,win,Team SMG,UndeRank,1,0,23/07/2021,20:15
Paper Rex vs. Team SMG,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,Main Event,loss,Team SMG,Paper Rex,0,2,23/07/2021,9:00
Team SMG vs. Brain And Friends,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,Qualifiers,win,Team SMG,Brain And Friends,2,1,17/07/2021,15:30
Team SMG vs. Team Titan,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,Qualifiers,win,Team SMG,Team Titan,2,0,17/07/2021,12:00
Todak vs. Team SMG,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,Main Event,loss,Team SMG,Todak,0,1,10/07/2021,15:15
Saints vs. Team SMG,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,Main Event,win,Team SMG,Saints,1,0,09/07/2021,19:15
Team SMG vs. Kingsmen,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,Main Event,loss,Team SMG,Kingsmen,0,2,09/07/2021,12:10
Team SMG vs. Saints,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,Qualifiers,win,Team SMG,Saints,2,0,03/07/2021,15:30
Team SMG vs. Running Dogs,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,Qualifiers,win,Team SMG,Running Dogs,2,0,03/07/2021,12:00
Team SMG vs. Orgless,Champions Tour Malaysia & Singapore Stage 2: Challengers 3,Main Event,loss,Orgless,Team SMG,1,2,24/04/2021,9:00
Todak vs. Orgless,Champions Tour Malaysia & Singapore Stage 2: Challengers 3,Main Event,loss,Orgless,Todak,1,2,23/04/2021,9:00
Louvre vs. Orgless,Champions Tour Malaysia & Singapore Stage 2: Challengers 2,Main Event,loss,Orgless,Louvre,0,1,17/04/2021,15:40
Kingsmen vs. Orgless,Champions Tour Malaysia & Singapore Stage 2: Challengers 2,Main Event,win,Orgless,Kingsmen,1,0,16/04/2021,19:15
Team SMG vs. Orgless,Champions Tour Malaysia & Singapore Stage 2: Challengers 2,Main Event,loss,Orgless,Team SMG,0,2,16/04/2021,12:30
Orgless vs. Todak,Champions Tour Malaysia & Singapore Stage 2: Challengers 2,Qualifiers Day 1,win,Orgless,Todak,2,0,10/04/2021,16:00
