team_name,team_aggr,total_map_win,best_of_type,pick_team,match_res,map_stats,total_win,t_win,ct_win,event_name,match_type,player_list,ban_map_1,ban_map_2,pick_map_1,pick_map_2,pick_map_3,match_map_1,match_map_2,match_map_3,match_map_4,match_map_5,match_url
LEVIATÁN,LEV,2,Bo3,B,win,"[['Corrode', 10, 5, 5], ['Bind', 12, 4, 8]]",22,9,13,VCT 2026: Americas Kickoff,Main Event: Lower Round 2,"['LEV Sato', 'LEV kiNgg', 'LEV blowz', 'LEV Neon', 'LEV spike']",Split,Breeze,Bind,Abyss,-,Corrode,Bind,-,-,-,https://www.vlr.gg/596422/sentinels-vs-leviat-n-vct-2026-americas-kickoff-lr2
100 Thieves,100T,2,Bo3,B,win,"[['Haven', 13, 10, 3], ['Bind', 15, 5, 7]]",28,15,10,VCT 2026: Americas Kickoff,Main Event: Lower Round 3,"['100T Cryocells', '100T vora', '100T Asuna', '100T Timotino', '100T bang']",Abyss,Corrode,Bind,Split,-,Haven,Bind,-,-,-,https://www.vlr.gg/596423/100-thieves-vs-evil-geniuses-vct-2026-americas-kickoff-lr3
Evil Geniuses,EG,0,Bo3,A,loss,"[['Haven', 11, 9, 2], ['Bind', 13, 5, 7]]",24,14,9,VCT 2026: Americas Kickoff,Main Event: Lower Round 3,"['EG dgzin', 'EG Okeanos', 'EG supamen', 'EG C0M', 'EG bao']",Breeze,Pearl,Haven,Split,-,Haven,Bind,-,-,-,https://www.vlr.gg/596423/100-thieves-vs-evil-geniuses-vct-2026-americas-kickoff-lr3
Cloud9,C9,2,Bo3,B,win,"[['Bind', 13, 4, 9], ['Breeze', 13, 6, 7]]",26,10,16,VCT 2026: Americas Kickoff,Main Event: Lower Round 3,"['C9 v1c', 'C9 OXY', 'C9 Zellsis', 'C9 penny', 'C9 Xeppaa']",Corrode,Haven,Breeze,Abyss,-,Bind,Breeze,-,-,-,https://www.vlr.gg/596424/cloud9-vs-leviat-n-vct-2026-americas-kickoff-lr3
LEVIATÁN,LEV,0,Bo3,A,loss,"[['Bind', 5, 3, 2], ['Breeze', 7, 5, 2]]",12,8,4,VCT 2026: Americas Kickoff,Main Event: Lower Round 3,"['LEV kiNgg', 'LEV Neon', 'LEV blowz', 'LEV spike', 'LEV Sato']",Pearl,Split,Bind,Abyss,-,Bind,Breeze,-,-,-,https://www.vlr.gg/596424/cloud9-vs-leviat-n-vct-2026-americas-kickoff-lr3
NRG,NRG,0,Bo3,A,loss,"[['Pearl', 13, 3, 10], ['Split', 13, 6, 7]]",26,9,17,VCT 2026: Americas Kickoff,Main Event: Middle Round 4,"['NRG keiko', 'NRG skuba', 'NRG mada', 'NRG Ethan', 'NRG brawk']",Bind,Breeze,Pearl,Haven,-,Pearl,Split,-,-,-,https://www.vlr.gg/596417/nrg-vs-g2-esports-vct-2026-americas-kickoff-mr4
G2 Esports,G2,2,Bo3,B,win,"[['Pearl', 3, 2, 1], ['Split', 8, 5, 3]]",11,7,4,VCT 2026: Americas Kickoff,Main Event: Middle Round 4,"['G2 valyn', 'G2 jawgemo', 'G2 BABYBAY', 'G2 trent', 'G2 leaf']",Abyss,Corrode,Split,Haven,-,Pearl,Split,-,-,-,https://www.vlr.gg/596417/nrg-vs-g2-esports-vct-2026-americas-kickoff-mr4
100 Thieves,100T,2,Bo3,B,win,"[['Pearl', 14, 6, 6], ['Split', 11, 6, 5], ['Abyss', 13, 10, 3]]",38,22,14,VCT 2026: Americas Kickoff,Main Event: Lower Round 4,"['100T bang', '100T vora', '100T Asuna', '100T Timotino', '100T Cryocells']",Haven,Breeze,Split,Abyss,-,Pearl,Split,Abyss,-,-,https://www.vlr.gg/596425/100-thieves-vs-cloud9-vct-2026-americas-kickoff-lr4
Cloud9,C9,1,Bo3,A,loss,"[['Pearl', 12, 6, 6], ['Split', 13, 7, 6], ['Abyss', 2, 0, 2]]",27,13,14,VCT 2026: Americas Kickoff,Main Event: Lower Round 4,"['C9 OXY', 'C9 v1c', 'C9 Xeppaa', 'C9 Zellsis', 'C9 penny']",Bind,Corrode,Pearl,Abyss,-,Pearl,Split,Abyss,-,-,https://www.vlr.gg/596425/100-thieves-vs-cloud9-vct-2026-americas-kickoff-lr4
MIBR,MIBR,2,Bo5,A,loss,"[['Bind', 8, 7, 1], ['Abyss', 13, 10, 3], ['Haven', 13, 6, 7], ['Breeze', 2, 0, 2], ['Split', 13, 7, 6]]",49,30,19,VCT 2026: Americas Kickoff,Main Event: Upper Final,"['MIBR Mazino', 'MIBR zekken', 'MIBR aspas', 'MIBR tex', 'MIBR Verno']",Pearl,-,Bind,Haven,Split,Bind,Abyss,Haven,Breeze,Split,https://www.vlr.gg/596408/mibr-vs-furia-vct-2026-americas-kickoff-ubf
FURIA,FUR,3,Bo5,B,win,"[['Bind', 13, 8, 5], ['Abyss', 8, 6, 2], ['Haven', 11, 5, 6], ['Breeze', 13, 1, 12], ['Split', 8, 6, 2]]",53,26,27,VCT 2026: Americas Kickoff,Main Event: Upper Final,"['FUR koalanoob', 'FUR eeiu', 'FUR artzin', 'FUR nerve', 'FUR alym']",Corrode,-,Abyss,Breeze,Split,Bind,Abyss,Haven,Breeze,Split,https://www.vlr.gg/596408/mibr-vs-furia-vct-2026-americas-kickoff-ubf
NRG,NRG,2,Bo3,B,win,"[['Pearl', 13, 9, 4], ['Abyss', 13, 6, 7]]",26,15,11,VCT 2026: Americas Kickoff,Main Event: Lower Round 5,"['NRG skuba', 'NRG keiko', 'NRG brawk', 'NRG mada', 'NRG Ethan']",Bind,Breeze,Abyss,Split,-,Pearl,Abyss,-,-,-,https://www.vlr.gg/596426/nrg-vs-100-thieves-vct-2026-americas-kickoff-lr5
100 Thieves,100T,0,Bo3,A,loss,"[['Pearl', 3, 0, 3], ['Abyss', 8, 5, 3]]",11,5,6,VCT 2026: Americas Kickoff,Main Event: Lower Round 5,"['100T vora', '100T Cryocells', '100T Asuna', '100T bang', '100T Timotino']",Haven,Corrode,Pearl,Split,-,Pearl,Abyss,-,-,-,https://www.vlr.gg/596426/nrg-vs-100-thieves-vct-2026-americas-kickoff-lr5
MIBR,MIBR,0,Bo5,A,loss,"[['Breeze', 13, 6, 7], ['Haven', 13, 8, 5], ['Corrode', 13, 9, 4]]",39,23,16,VCT 2026: Americas Kickoff,Main Event: Middle Final,"['MIBR zekken', 'MIBR Verno', 'MIBR Mazino', 'MIBR aspas', 'MIBR tex']",Pearl,-,Breeze,Corrode,Bind,Breeze,Haven,Corrode,-,-,https://www.vlr.gg/596418/mibr-vs-g2-esports-vct-2026-americas-kickoff-mbf
G2 Esports,G2,3,Bo5,B,win,"[['Breeze', 6, 5, 1], ['Haven', 4, 0, 4], ['Corrode', 7, 4, 3]]",17,9,8,VCT 2026: Americas Kickoff,Main Event: Middle Final,"['G2 valyn', 'G2 BABYBAY', 'G2 trent', 'G2 leaf', 'G2 jawgemo']",Abyss,-,Haven,Split,Bind,Breeze,Haven,Corrode,-,-,https://www.vlr.gg/596418/mibr-vs-g2-esports-vct-2026-americas-kickoff-mbf
MIBR,MIBR,2,Bo5,A,loss,"[['Bind', 9, 6, 3], ['Corrode', 5, 1, 4], ['Split', 13, 10, 3], ['Abyss', 13, 4, 9], ['Haven', 13, 2, 11]]",53,23,30,VCT 2026: Americas Kickoff,Main Event: Lower Final,"['MIBR aspas', 'MIBR Verno', 'MIBR tex', 'MIBR zekken', 'MIBR Mazino']",Pearl,-,Bind,Split,Haven,Bind,Corrode,Split,Abyss,Haven,https://www.vlr.gg/596427/mibr-vs-nrg-vct-2026-americas-kickoff-lbf
NRG,NRG,3,Bo5,B,win,"[['Bind', 13, 7, 6], ['Corrode', 13, 8, 5], ['Split', 10, 9, 1], ['Abyss', 4, 3, 1], ['Haven', 5, 1, 4]]",45,28,17,VCT 2026: Americas Kickoff,Main Event: Lower Final,"['NRG brawk', 'NRG mada', 'NRG skuba', 'NRG keiko', 'NRG Ethan']",Breeze,-,Corrode,Abyss,Haven,Bind,Corrode,Split,Abyss,Haven,https://www.vlr.gg/596427/mibr-vs-nrg-vct-2026-americas-kickoff-lbf
