PRX ideal Fix,General Discussion,0,46,"March 24, 2024 at 6:04 AM AEDT"
Top 10 controllers itw rn?,General Discussion,0,52,"April 14, 2024 at 1:48 AM AEST"
Top smokes of all time,General Discussion,4,45,"April 21, 2024 at 5:20 AM AEST"
Where’s the drx fans at,General Discussion,0,39,"May 4, 2024 at 11:35 PM AEST"
Sscary > mindfreak,General Discussion,1,6,"May 12, 2024 at 9:47 PM AEST"
TALON COME,General Discussion,2,31,"June 23, 2024 at 7:46 PM AEST"
Top 5 of Each Role - All Time,General Discussion,0,108,"July 2, 2024 at 6:44 PM AEST"
PRX REBUILD,General Discussion,0,53,"July 9, 2024 at 7:52 PM AEST"
Who wins {Aim Duel} 2.0,General Discussion,1,20,"July 10, 2024 at 8:20 AM AEST"
Pooper Rex,General Discussion,0,18,"July 20, 2024 at 6:47 AM AEST"
mindfreak hater cosplay,General Discussion,3,6,"July 20, 2024 at 7:13 PM AEST"
If I was HC of PRX...,General Discussion,2,62,"October 18, 2024 at 12:26 PM AEDT"
Mindfreak best PRX player,General Discussion,0,6,"November 25, 2024 at 10:46 PM AEDT"
dude mindfreak is actually a god,General Discussion,2,6,"December 1, 2024 at 11:39 PM AEDT"
RRQ F0rsaken & BME Mindfreak,General Discussion,2,6,"February 2, 2025 at 12:57 AM AEDT"
APAC has the best controller player,General Discussion,2,33,"March 1, 2025 at 1:59 AM AEDT"
Mindfreak sign ex-Chiefs,General Discussion,0,5,"January 28, 2022 at 6:00 PM AEDT"
MINDFREAK #2,General Discussion,0,5,"July 18, 2022 at 2:30 AM AEST"
Mindfreak on fire,General Discussion,0,5,"May 1, 2023 at 8:28 PM AEST"
Mindfreak omegalul,General Discussion,0,5,"August 27, 2023 at 7:13 AM AEST"
for mr.leonhart (mindfreak),General Discussion,2,5,"July 30, 2024 at 9:30 PM AEST"
free mindfreak,General Discussion,1,5,"August 11, 2024 at 9:51 PM AEST"
DAvai & mindfreak..,General Discussion,0,5,"March 23, 2025 at 9:58 PM AEDT"
Weakest link in each team,General Discussion,0,78,"April 5, 2022 at 2:16 PM AEST"
How SEN can win LCQ,General Discussion,0,37,"July 15, 2022 at 7:51 AM AEST"
GODFREAK,General Discussion,9,43,"July 18, 2022 at 1:31 AM AEST"
MindFreak,General Discussion,0,5,"July 18, 2022 at 2:09 AM AEST"
World player rankings (Discuss),General Discussion,0,24,"July 24, 2022 at 6:17 AM AEST"
Pick Your Valorant National Team,General Discussion,0,118,"August 21, 2022 at 7:14 AM AEST"
Plat Chat Top 10 players at Champions Istanbul,General Discussion,3,100,"August 25, 2022 at 4:33 AM AEST"
Paper Rex,General Discussion,1,20,"March 13, 2023 at 4:32 PM AEDT"
Fnatic vs prx [firepower],General Discussion,3,33,"May 28, 2023 at 3:25 AM AEST"
Mindfreak appreciation,General Discussion,10,5,"June 20, 2023 at 9:11 PM AEST"
BLEED SO BAD,General Discussion,0,16,"July 3, 2023 at 12:56 AM AEST"
PRX + Monyet,General Discussion,0,16,"August 5, 2023 at 3:52 PM AEST"
Who is the best controller in pacific league?,General Discussion,0,17,"August 11, 2023 at 11:02 PM AEST"
"ACTUAL TOP 20 2023 (NO TROLL, SERIOUS, NO FRAUD)",General Discussion,0,42,"August 31, 2023 at 12:30 AM AEST"
Superteam for each ‘region’,General Discussion,1,60,"October 14, 2023 at 4:06 AM AEDT"
Iso is the ANTI-VIPER,General Discussion,0,17,"October 20, 2023 at 9:14 AM AEDT"
[bug match] SEN vs PRX,General Discussion,0,40,"December 4, 2023 at 10:41 PM AEDT"
TOP 10 PLAYERS AT MADRID,General Discussion,0,28,"March 10, 2024 at 11:11 AM AEDT"
reminder about MONYET,General Discussion,15,59,"April 18, 2024 at 2:18 PM AEST"
PRX need IGL,General Discussion,4,18,"June 3, 2024 at 8:46 PM AEST"
Prx roster change?,General Discussion,1,25,"June 11, 2024 at 12:57 AM AEST"
SAD TRUTH ABOUT PRX,General Discussion,0,26,"July 20, 2024 at 10:54 PM AEST"
prx ascent comp,General Discussion,2,35,"July 27, 2024 at 3:23 PM AEST"
How I would fix PRX Lotus,General Discussion,0,12,"August 6, 2024 at 4:49 AM AEST"
Top 10 Omen's in Champs 2024 (so far),General Discussion,0,21,"August 10, 2024 at 4:28 AM AEST"
hyunmin,General Discussion,1,45,"September 11, 2024 at 5:18 PM AEST"
PRX sScary,General Discussion,0,19,"October 7, 2024 at 6:03 PM AEDT"
why m8 will be the worst EMEA team,General Discussion,0,40,"October 10, 2024 at 1:29 AM AEDT"
indo fans,General Discussion,0,68,"November 29, 2024 at 8:19 AM AEDT"
Valorant Flashback,General Discussion,0,15,"December 9, 2024 at 5:03 AM AEDT"
PRX player contracts,General Discussion,0,30,"February 2, 2025 at 12:26 AM AEDT"
PRX FIX Roster,General Discussion,0,20,"February 2, 2025 at 12:55 AM AEDT"
new prx roles,General Discussion,1,12,"February 19, 2025 at 10:02 PM AEDT"
prx roles change,General Discussion,0,30,"February 26, 2025 at 11:05 PM AEDT"
PRX patmen,General Discussion,4,50,"March 3, 2025 at 9:10 PM AEDT"
prx patman,General Discussion,1,7,"March 5, 2025 at 1:53 AM AEDT"
if mindfreak is benched instead of j0nggg,General Discussion,5,5,"March 5, 2025 at 4:48 AM AEDT"
Jinggg>Something AND ITS NOT CLOSE,General Discussion,0,36,"March 7, 2025 at 10:03 AM AEDT"
patmen,General Discussion,1,14,"March 23, 2025 at 7:55 PM AEDT"
Imagine mindfreak walled better,General Discussion,0,4,"October 14, 2021 at 7:17 PM AEDT"
Sources: Mindfreak set to release VALORANT roster,General Discussion,1,4,"June 20, 2022 at 11:14 AM AEST"
what happened to mindfreak?,General Discussion,0,4,"April 15, 2023 at 9:01 PM AEST"
Mindfreak <3,General Discussion,0,4,"May 28, 2023 at 9:24 PM AEST"
it is MindFreak,General Discussion,0,4,"March 22, 2024 at 4:10 AM AEDT"
Shao and Mindfreak,General Discussion,1,4,"July 5, 2024 at 2:32 AM AEST"
No way mindfreak gets benched !,General Discussion,0,4,"March 5, 2025 at 5:27 PM AEDT"
Each region Superteam,General Discussion,0,94,"July 17, 2022 at 12:27 PM AEST"
PRX Franchising,General Discussion,3,36,"July 23, 2022 at 9:33 PM AEST"
real TOP 10 APAC player (individual),General Discussion,0,32,"July 28, 2022 at 4:37 PM AEST"
forsaken and mindfreak,General Discussion,1,4,"July 30, 2022 at 1:36 PM AEST"
Valorant Dream team,General Discussion,0,9,"August 3, 2022 at 9:44 PM AEST"
create BLEED superteam,General Discussion,0,18,"August 20, 2022 at 10:36 PM AEST"
Most Improved Player 2022,General Discussion,0,33,"September 3, 2022 at 7:49 AM AEST"
best vct clutchs,General Discussion,5,47,"September 10, 2022 at 4:19 AM AEST"
Create your Super Teams,General Discussion,0,85,"September 12, 2022 at 6:01 AM AEST"
Top 8 handsome Men in Champion,General Discussion,0,96,"September 17, 2022 at 3:57 AM AEST"
What would be ypur best national team,General Discussion,3,71,"September 19, 2022 at 3:46 PM AEST"
RRQ Roster,Off Topic,12,156,"September 24, 2022 at 2:37 PM AEST"
Who’s in your top 5 for each role?,General Discussion,2,26,"September 27, 2022 at 11:16 PM AEST"
Ranking Valorant Teams with NBA 2k ratings pt.1,General Discussion,1,63,"November 14, 2022 at 2:10 PM AEDT"
asian val world cup,General Discussion,0,80,"December 1, 2022 at 12:21 PM AEDT"
