Forsaken come,General Discussion,0,10,"July 20, 2024 at 6:57 PM AEST"
Smb bullying to forsaken,General Discussion,0,10,"September 15, 2021 at 11:31 PM AEST"
F0rsaken and Jing vs Derke and Alfajer,General Discussion,0,85,"June 25, 2022 at 9:25 PM AEST"
dont play yoru if your name isnt forsaken,General Discussion,2,10,"July 17, 2022 at 2:44 AM AEST"
top 5 players in the world,General Discussion,0,46,"July 17, 2022 at 10:24 AM AEST"
Rate Inventory,General Discussion,0,29,"August 31, 2022 at 12:33 AM AEST"
TenZ + Zekken > Jingg and Forsaken,General Discussion,5,10,"December 5, 2023 at 10:10 PM AEDT"
The GOAT of Valorant,General Discussion,0,54,"April 14, 2024 at 8:06 PM AEST"
Drop your valo inventory and rate ?/10,General Discussion,3,75,"May 14, 2024 at 7:33 PM AEST"
Sen fans are challenged,General Discussion,0,44,"July 5, 2024 at 6:44 AM AEST"
list your top 5 respective in their roles,General Discussion,0,57,"November 13, 2024 at 1:56 AM AEDT"
Nats playing with forsaken,General Discussion,0,9,"July 16, 2022 at 5:24 PM AEST"
JINGG AND FORSAKEN,General Discussion,7,9,"March 16, 2024 at 4:45 AM AEDT"
Zellsis vs Forsaken,General Discussion,0,9,"March 23, 2024 at 6:53 AM AEDT"
who is the best SEA player/aimer?,General Discussion,1,23,"January 8, 2022 at 11:56 PM AEDT"
Life and KangKang = Forsaken and Jinggg ?,General Discussion,0,9,"August 12, 2022 at 9:23 PM AEST"
xccurate playing with his brother forsaken,General Discussion,0,9,"October 1, 2022 at 1:40 AM AEST"
Overhyping patiphan???,General Discussion,8,58,"October 26, 2022 at 2:18 AM AEDT"
Best skin on each weapon,General Discussion,0,24,"November 16, 2022 at 5:25 PM AEDT"
TOP 5 VANDAL/PHANTOM SKINS?,Off Topic,0,42,"August 15, 2023 at 7:51 AM AEST"
Who's the best flex,General Discussion,1,35,"August 18, 2023 at 10:28 AM AEST"
Top 3 Goat contenders,General Discussion,0,50,"March 21, 2024 at 8:34 PM AEDT"
Build your roster ($15),General Discussion,0,30,"March 25, 2024 at 11:55 AM AEDT"
Top 5 players of all time,General Discussion,0,39,"April 11, 2024 at 9:57 AM AEST"
Create your ideal player,General Discussion,0,46,"April 13, 2024 at 5:21 AM AEST"
best vandal skin,General Discussion,3,54,"June 15, 2024 at 6:43 AM AEST"
Forsaken agent pool is a myth,General Discussion,0,9,"August 4, 2024 at 7:17 PM AEST"
forsaken truth,General Discussion,0,9,"August 6, 2024 at 9:55 AM AEST"
Would you rather (Skin),General Discussion,0,16,"September 14, 2024 at 12:55 PM AEST"
Create your perfect player,General Discussion,0,78,"December 8, 2024 at 4:30 AM AEDT"
Forsaken yoru,General Discussion,0,8,"March 25, 2022 at 6:20 PM AEDT"
Forsaken wtf,General Discussion,3,8,"June 25, 2022 at 9:10 PM AEST"
100t derrek on jingg and forsaken,General Discussion,0,8,"September 16, 2022 at 9:44 AM AEST"
Forsaken cypher,General Discussion,0,8,"May 20, 2023 at 9:53 PM AEST"
Best Jett's,General Discussion,0,55,"November 3, 2021 at 1:46 PM AEDT"
best vandal skin?,Off Topic,2,52,"February 13, 2022 at 4:12 PM AEDT"
top 5 skins (vandal and phantom),General Discussion,0,27,"February 20, 2022 at 11:58 PM AEDT"
skrossi + LF vs f0rsaken right now!,General Discussion,0,123,"October 29, 2022 at 12:39 AM AEDT"
Make ur countries best five,General Discussion,0,152,"October 31, 2022 at 2:26 PM AEDT"
TOP 3 VANDAL SKINS IN ORDER,General Discussion,1,65,"February 21, 2023 at 4:21 AM AEDT"
Best CSGO IGNs vs Best Valorant IGNs,Off Topic,2,80,"August 2, 2023 at 10:42 AM AEST"
Best Operator skins ?,General Discussion,0,24,"November 1, 2023 at 3:26 AM AEDT"
build your superteam,General Discussion,0,41,"March 25, 2024 at 10:39 AM AEDT"
RANK THE FOLLOWING DUOS,General Discussion,0,17,"March 31, 2024 at 5:50 PM AEDT"
Víctor Cypher,General Discussion,0,38,"April 29, 2024 at 4:28 PM AEST"
ACTUAL TOP 5 PLAYERS AT SHANGHAI,General Discussion,0,30,"May 16, 2024 at 9:02 AM AEST"
Paper Rex,General Discussion,0,20,"August 12, 2024 at 2:00 AM AEST"
prx player ranking,General Discussion,5,45,"November 25, 2024 at 7:07 AM AEDT"
Create your Pacific Superteam?,General Discussion,0,20,"February 27, 2025 at 2:41 PM AEDT"
Forsaken>cNed?,General Discussion,3,7,"September 14, 2021 at 1:55 AM AEST"
PRX Forsaken,General Discussion,9,7,"June 26, 2022 at 7:02 PM AEST"
FORSAKEN YORU,General Discussion,0,7,"September 2, 2022 at 5:41 AM AEST"
Forsaken + jingg duo,General Discussion,2,7,"June 21, 2023 at 6:54 PM AEST"
Tips for forsaken and jing to be the best players,General Discussion,6,7,"June 24, 2023 at 2:59 PM AEST"
forsaken 1v3,General Discussion,2,7,"August 20, 2023 at 8:02 AM AEST"
Forsaken is the problem,General Discussion,0,7,"February 2, 2025 at 7:32 AM AEDT"
Forsaken and something,General Discussion,0,7,"March 23, 2025 at 8:39 PM AEDT"
VANDAL SKINS,General Discussion,0,24,"June 15, 2021 at 8:23 PM AEST"
People think forsaken's yoru is good,General Discussion,1,7,"April 23, 2022 at 2:44 AM AEST"
Need help,General Discussion,0,14,"April 29, 2022 at 12:02 AM AEST"
Rank best duos,General Discussion,0,26,"June 6, 2022 at 5:16 AM AEST"
Guess the vlr user.,Off Topic,16,282,"August 15, 2022 at 7:03 PM AEST"
-will +forsaken,General Discussion,0,7,"August 17, 2022 at 2:58 AM AEST"
SG Something,General Discussion,6,27,"March 12, 2023 at 10:39 PM AEDT"
Fnatic vs prx [firepower],General Discussion,3,33,"May 28, 2023 at 3:25 AM AEST"
Boaster and Forsaken,Off Topic,2,7,"June 10, 2023 at 3:09 PM AEST"
I'm using the Forsaken Operator from now on.,General Discussion,0,7,"June 14, 2023 at 6:09 PM AEST"
Forsaken duelist suck,General Discussion,0,7,"June 20, 2023 at 5:23 PM AEST"
PRX VS NRG [ANALYSIS],General Discussion,0,21,"June 21, 2023 at 2:03 AM AEST"
BEST PLAYERS SIGNATURE SKINS,General Discussion,11,60,"July 28, 2023 at 7:36 AM AEST"
VLR answer.,General Discussion,0,41,"July 28, 2023 at 5:18 PM AEST"
Best player for Each Category,General Discussion,0,42,"August 26, 2023 at 1:03 AM AEST"
Fun fact about BLEED crazyguy,Off Topic,5,22,"September 28, 2023 at 7:25 AM AEST"
Make your dream team.,General Discussion,0,81,"October 9, 2023 at 3:27 AM AEDT"
[bug match] SEN vs PRX,General Discussion,0,40,"December 4, 2023 at 10:41 PM AEDT"
