Team Secret vs. Paper Rex,Champions Tour 2023: Pacific League,loss,Paper Rex,Team Secret,1,2,02/04/2023,16:00
Paper Rex vs. DetonatioN FocusMe,Champions Tour 2023: Pacific League,win,Paper Rex,DetonatioN FocusMe,2,0,26/03/2023,16:00
Cloud9 vs. Paper Rex,Champions Tour 2023: LOCK//IN São Paulo,loss,Paper Rex,Cloud9,0,2,15/02/2023,7:05
ZETA DIVISION vs. Paper Rex,Riot Games ONE Pro Invitational 2022,loss,Paper Rex,ZETA DIVISION,0,1,24/12/2022,11:20
Team Heretics vs. Paper Rex,Valorant India Invitational by Galaxy Racer,win,Paper Rex,Team Heretics,3,1,20/11/2022,13:30
Paper Rex vs. Team Secret,Valorant India Invitational by Galaxy Racer,win,Paper Rex,Team Secret,2,1,19/11/2022,22:15
BOOM Esports vs. Paper Rex,Valorant India Invitational by Galaxy Racer,win,Paper Rex,BOOM Esports,1,0,19/11/2022,12:30
Paper Rex vs. BLEED,Valorant India Invitational by Galaxy Racer,loss,Paper Rex,BLEED,0,1,19/11/2022,2:30
Paper Rex vs. Global Esports,Valorant India Invitational by Galaxy Racer,win,Paper Rex,Global Esports,1,0,19/11/2022,1:00
Paper Rex vs. Team Liquid,Valorant Champions 2022,loss,Paper Rex,Team Liquid,1,2,07/09/2022,21:00
Paper Rex vs. LEVIATÁN,Valorant Champions 2022,loss,Paper Rex,LEVIATÁN,0,2,02/09/2022,1:35
Paper Rex vs. EDward Gaming,Valorant Champions 2022,win,Paper Rex,EDward Gaming,2,1,31/08/2022,21:00
Paper Rex vs. FunPlus Phoenix,Valorant Champions Tour Stage 2: Masters Copenhagen,loss,Paper Rex,FunPlus Phoenix,2,3,24/07/2022,22:00
Paper Rex vs. OpTic Gaming,Valorant Champions Tour Stage 2: Masters Copenhagen,win,Paper Rex,OpTic Gaming,2,1,22/07/2022,22:00
Paper Rex vs. FNATIC,Valorant Champions Tour Stage 2: Masters Copenhagen,win,Paper Rex,FNATIC,2,0,17/07/2022,22:00
Paper Rex vs. Guild Esports,Valorant Champions Tour Stage 2: Masters Copenhagen,win,Paper Rex,Guild Esports,2,0,14/07/2022,22:00
Paper Rex vs. XERXIA Esports,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,XERXIA Esports,3,0,26/06/2022,13:45
Paper Rex vs. Team Secret,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,Team Secret,2,0,25/06/2022,16:30
Paper Rex vs. BLEED,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,BLEED,2,1,24/06/2022,10:00
Paper Rex vs. Alter Ego,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,Alter Ego,2,1,23/06/2022,10:00
Paper Rex vs. ORDER,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,ORDER,2,0,19/06/2022,10:00
Paper Rex vs. BOOM Esports,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,BOOM Esports,2,0,16/06/2022,14:25
LaZe vs. Paper Rex,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,LaZe,3,0,29/05/2022,11:30
Paper Rex vs. BLEED,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,BLEED,2,0,28/05/2022,17:20
Paper Rex vs. LaZe,Champions Tour Malaysia & Singapore Stage 2: Challengers,loss,Paper Rex,LaZe,1,2,28/05/2022,11:30
Paper Rex vs. No Namers,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,No Namers,2,0,27/05/2022,9:30
Paper Rex vs. Blitz Esports,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,Blitz Esports,2,0,22/05/2022,11:55
Paper Rex vs. Todak,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,Todak,2,0,21/05/2022,11:35
Paper Rex vs. KPMOONIIBLM9,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,KPMOONIIBLM9,2,0,20/05/2022,13:00
Paper Rex vs. Avium Esports,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,Avium Esports,2,0,19/05/2022,16:20
Paper Rex vs. Galaxy Esports,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,Galaxy Esports,2,0,15/05/2022,9:30
Paper Rex vs. BLEED,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,BLEED,2,1,14/05/2022,15:05
Paper Rex vs. LaZe,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,LaZe,2,0,13/05/2022,13:00
ZETA DIVISION vs. Paper Rex,Valorant Champions Tour Stage 1: Masters Reykjavík,loss,Paper Rex,ZETA DIVISION,1,2,23/04/2022,3:25
G2 Esports vs. Paper Rex,Valorant Champions Tour Stage 1: Masters Reykjavík,win,Paper Rex,G2 Esports,2,0,19/04/2022,4:00
Paper Rex vs. The Guard,Valorant Champions Tour Stage 1: Masters Reykjavík,win,Paper Rex,The Guard,2,0,17/04/2022,3:30
Paper Rex vs. DRX,Valorant Champions Tour Stage 1: Masters Reykjavík,loss,Paper Rex,DRX,1,2,16/04/2022,12:00
Paper Rex vs. XERXIA Esports,Champions Tour Asia-Pacific Stage 1: Challengers Playoffs,win,Paper Rex,XERXIA Esports,3,2,27/03/2022,14:30
BLEED vs. Paper Rex,Champions Tour Asia-Pacific Stage 1: Challengers Playoffs,win,Paper Rex,BLEED,2,0,26/03/2022,15:10
XERXIA Esports vs. Paper Rex,Champions Tour Asia-Pacific Stage 1: Challengers Playoffs,win,Paper Rex,XERXIA Esports,2,0,25/03/2022,13:30
Paper Rex vs. South Built Esports,Champions Tour Asia-Pacific Stage 1: Challengers Playoffs,win,Paper Rex,South Built Esports,2,0,24/03/2022,19:30
Paper Rex vs. Persija Esports,Champions Tour Asia-Pacific Stage 1: Challengers Playoffs,win,Paper Rex,Persija Esports,2,1,19/03/2022,13:20
Paper Rex vs. Fancy United Esports,Champions Tour Asia-Pacific Stage 1: Challengers Playoffs,win,Paper Rex,Fancy United Esports,2,0,17/03/2022,12:30
Paper Rex vs. BLEED,Champions Tour Malaysia & Singapore Stage 1: Challengers,win,Paper Rex,BLEED,3,0,27/02/2022,13:00
Paper Rex vs. No Namers,Champions Tour Malaysia & Singapore Stage 1: Challengers,win,Paper Rex,No Namers,2,0,26/02/2022,15:30
Paper Rex vs. KPMOONIIBLM9,Champions Tour Malaysia & Singapore Stage 1: Challengers,win,Paper Rex,KPMOONIIBLM9,2,0,25/02/2022,16:15
Paper Rex vs. Madness Esports,Champions Tour Malaysia & Singapore Stage 1: Challengers,win,Paper Rex,Madness Esports,2,0,24/02/2022,13:30
Paper Rex vs. Todak,Champions Tour Malaysia & Singapore Stage 1: Challengers,win,Paper Rex,Todak,2,0,18/02/2022,18:55
Paper Rex vs. You Guys Get Paid?,Champions Tour Malaysia & Singapore Stage 1: Challengers,win,Paper Rex,You Guys Get Paid?,2,0,10/02/2022,16:30
Paper Rex vs. Louvre,The Esports Club Showdown,win,Paper Rex,Louvre,3,0,30/11/2021,17:30
Paper Rex vs. Alter Ego,The Esports Club Showdown,win,Paper Rex,Alter Ego,2,0,25/11/2021,18:30
Paper Rex vs. Louvre,The Esports Club Showdown,win,Paper Rex,Louvre,2,0,22/11/2021,18:30
BOOM Esports vs. Paper Rex,Royal SEA Challenge,loss,Paper Rex,BOOM Esports,0,2,19/11/2021,20:50
Sharper Esport vs. Paper Rex,Royal SEA Challenge,win,Paper Rex,Sharper Esport,2,1,19/11/2021,14:10
Paper Rex vs. Team Exploit,The Esports Club Showdown,win,Paper Rex,Team Exploit,2,0,18/11/2021,14:50
Paper Rex vs. Bren Esports,Royal SEA Challenge,win,Paper Rex,Bren Esports,2,0,17/11/2021,16:20
Paper Rex vs. BLEED,Royal SEA Challenge,win,Paper Rex,BLEED,2,0,16/11/2021,16:00
Paper Rex vs. Team Big BAAM,Royal SEA Challenge,win,Paper Rex,Team Big BAAM,2,0,15/11/2021,16:00
Paper Rex vs. South Built Esports,Royal SEA Challenge,draw,Paper Rex,South Built Esports,1,1,14/11/2021,16:00
Paper Rex vs. DAMWON Gaming,Champions Tour Asia-Pacific: Last Chance Qualifier,loss,Paper Rex,DAMWON Gaming,1,2,15/10/2021,17:15
Paper Rex vs. NORTHEPTION,Champions Tour Asia-Pacific: Last Chance Qualifier,loss,Paper Rex,NORTHEPTION,0,2,14/10/2021,14:00
Paper Rex vs. Global Esports,Champions Tour Asia-Pacific: Last Chance Qualifier,win,Paper Rex,Global Esports,2,0,12/10/2021,20:30
Paper Rex vs. BLEED,KJC eSports VALORANT Invitational,win,Paper Rex,BLEED,3,0,10/10/2021,16:00
BLEED vs. Paper Rex,KJC eSports VALORANT Invitational,win,Paper Rex,BLEED,2,1,09/10/2021,16:00
Paper Rex vs. Louvre,KJC eSports VALORANT Invitational,win,Paper Rex,Louvre,2,0,08/10/2021,16:35
Paper Rex vs. Foxy Araikordai,KJC eSports VALORANT Invitational,win,Paper Rex,Foxy Araikordai,2,0,07/10/2021,15:30
Paper Rex vs. Papara SuperMassive,Valorant Champions Tour Stage 3: Masters Berlin,loss,Paper Rex,Papara SuperMassive,1,2,15/09/2021,20:00
Vision Strikers vs. Paper Rex,Valorant Champions Tour Stage 3: Masters Berlin,loss,Paper Rex,Vision Strikers,0,2,11/09/2021,20:00
Paper Rex vs. Bren Esports,Champions Tour SEA Stage 3: Challengers Playoffs,loss,Paper Rex,Bren Esports,0,3,22/08/2021,14:05
Bren Esports vs. Paper Rex,Champions Tour SEA Stage 3: Challengers Playoffs,win,Paper Rex,Bren Esports,2,1,21/08/2021,14:30
BOOM Esports vs. Paper Rex,Champions Tour SEA Stage 3: Challengers Playoffs,win,Paper Rex,BOOM Esports,2,0,20/08/2021,12:20
Paper Rex vs. CBT Gaming,Champions Tour SEA Stage 3: Challengers Playoffs,win,Paper Rex,CBT Gaming,2,0,19/08/2021,17:30
ONIC G vs. Paper Rex,Champions Tour SEA Stage 3: Challengers Playoffs,win,Paper Rex,ONIC G,2,0,16/08/2021,10:00
FULL SENSE vs. Paper Rex,Champions Tour SEA Stage 3: Challengers Playoffs,draw,Paper Rex,FULL SENSE,1,1,14/08/2021,20:35
Five Ace Esports vs. Paper Rex,Champions Tour SEA Stage 3: Challengers Playoffs,win,Paper Rex,Five Ace Esports,2,0,13/08/2021,17:00
Paper Rex vs. Kingsmen,Champions Tour Malaysia & Singapore Stage 3: Challengers 3,win,Paper Rex,Kingsmen,3,0,08/08/2021,13:00
Paper Rex vs. Louvre,Champions Tour Malaysia & Singapore Stage 3: Challengers 3,win,Paper Rex,Louvre,2,0,07/08/2021,15:40
Paper Rex vs. Looking For Org,Champions Tour Malaysia & Singapore Stage 3: Challengers 3,win,Paper Rex,Looking For Org,2,1,07/08/2021,9:00
Paper Rex vs. Origin Sky,Champions Tour Malaysia & Singapore Stage 3: Challengers 3,win,Paper Rex,Origin Sky,2,0,06/08/2021,9:00
Paper Rex vs. UwU,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,loss,Paper Rex,UwU,1,3,25/07/2021,12:00
Paper Rex vs. UwU,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,win,Paper Rex,UwU,2,0,24/07/2021,15:40
Paper Rex vs. Kingsmen,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,win,Paper Rex,Kingsmen,2,0,24/07/2021,9:00
